index	Year	Type	Country	Activity	Injury	Fatal	NOT Fatal	Boating	Invalid
1358	2007	Unprovoked	AUSTRALIA	Wading	Calf bitten	0	1	0	0
1359	2007	Unprovoked	USA	Swimming	Right calf bitten	0	1	0	0
1360	2007	Provoked	NORWAY	Scuba diving	PROVOKED INCIDENT           No injury. Diver touched 'dead' shark; shark bit his equipment-covered arm	0	1	0	0
1361	2007	Invalid	USA	Swimming	Foot injured. Shark involvment uncomfirmed	0	0	0	1
1362	2007	Unprovoked	USA	Wading	Lacerations to right thigh & left foot	0	1	0	0
1363	2007	Unprovoked	BAHAMAS	Spearfishing	Lacerations to thumb, ring and pinky fingers of right hand 	0	1	0	0
1364	2007	Unprovoked	USA	Surfing	Right foot bitten	0	1	0	0
1365	2007	Unprovoked	REUNION	Body boarding	Minor injuries to thigh & knee 	0	1	0	0
1367	2007	Provoked	USA	Removing hook from shark	Lacerations to right  hand by hooked shark PROVOKED INCIDENT	0	1	0	0
1368	2007	Unprovoked	USA	Swimming	Hand bitten	0	1	0	0
1369	2007	Unprovoked	USA	Surfing	6 to 8 puncture wounds to right hand	0	1	0	0
1370	2007	Unprovoked	USA	Surfing	No injury, board damaged	0	1	0	0
1371	2007	Invalid	USA	Surfing	Superficial injuries to upper leg may have been caused by surfboard fin	0	0	0	1
1372	2007	Unprovoked	USA	Swimming	Right foot bitten	0	1	0	0
1373	2007	Unprovoked	AUSTRALIA	Surfing	Lacerations to leg & ankle	0	1	0	0
1374	2007	Unprovoked	USA	Wading	Lacerations to lower leg	0	1	0	0
1375	2007	Provoked	USA	Reviving a sedated shark	Left shin bitten by captive shark PROVOKED INCIDENT	0	1	0	0
1376	2007	Provoked	ENGLAND	Fishing	Bitten on the nose by a hooked shark PROVOKED INCIDENT	0	1	0	0
1377	2007	Unprovoked	AUSTRALIA	Wading	Left heel & calf bitten	0	1	0	0
1378	2007	Unprovoked	AUSTRALIA	Surfing	No injury, shark's fin caught his leg	0	1	0	0
1379	2007	Unprovoked	USA	Surfing	Knee bitten	0	1	0	0
1380	2007	Unprovoked	SEYCHELLES	Snorkeling	No injury	0	1	0	0
1381	2007	Invalid	AUSTRALIA	Swimming	Shark involvement prior to death unconfirmed	0	0	0	1
1382	2007	Unprovoked	USA	Snorkeling	Right foot bitten	0	1	0	0
1383	2007	Unprovoked	USA	Swimming	Circular bite on left thigh	0	1	0	0
1384	2007	Sea Disaster	TURKS  CAICOS	Sea Disaster	Some of the bodies recovered had been bitten by sharks	1	0	0	0
1385	2007	Provoked	BAHAMAS	Shark tagging	Lacerations to right upper arm by captive shark PROVOKED INCIDENT	0	1	0	0
1386	2007	Unprovoked	AUSTRALIA	Swimming / jumping off a jetty	Lower leg & foot injured	0	1	0	0
1387	2007	Unprovoked	USA	Body boarding	Left foot bitten	0	1	0	0
1388	2007	Unprovoked	USA	Surfing	Lacerations to left index finger & thumb 	0	1	0	0
1389	2007	Boating	USA	Fishing	No injury to occupants, shark holed the transom-mounted livewell 	0	0	1	0
1390	2007	Unprovoked	NEW CALEDONIA	Surfing	Left foot bitten	0	1	0	0
1391	2007	Unprovoked	USA	Playing on a sandbar	Lacerations & puncture wounds to right calf	0	1	0	0
1392	2007	Unprovoked	USA	Surfing	Lacerations to right ankle 	0	1	0	0
1393	2007	Unprovoked	USA		Minor cuts to right buttock & thigh	0	1	0	0
1394	2007	Unprovoked	YEMEN	Murder	FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks	1	0	0	0
1395	2007	Unprovoked	USA	Surfing	Punctures & lacerations to right calf & calf	0	1	0	0
1396	2007	Unprovoked	AUSTRALIA	Surfing	Lacerations to 3 fingers of left hand 	0	1	0	0
1397	2007	Provoked	USA	Shark fishing	Right hand bitten by hooked shark PROVOKED INCIDENT	0	1	0	0
1398	2007	Unprovoked	AUSTRALIA	Swimming	Bruises to arm and hand, laceration to lower leg & minor injuries to foot	0	1	0	0
1399	2007	Unprovoked	USA	Surfing	Lacerations to right forearm & hand	0	1	0	0
1400	2007	Provoked	NEW ZEALAND	Spearfishing	Leg bitten  by shark after he shot at it & missed  PROVOKED INCIDENT	0	1	0	0
1401	2007	Invalid	COSTA RICA	Swimming	Death due to drowning. Shark bite may have been postmortem	0	0	0	1
1402	2007	Unprovoked	AUSTRALIA	Boogie Boarding	Lacerations to  lower left leg & ankle 	0	1	0	0
1403	2007	Unprovoked	NEW CALEDONIA	Spearfishing	Survived	0	1	0	0
1404	2007	Unprovoked	NEW CALEDONIA	Spearfishing (free diving)	Leg bitten	0	1	0	0
1405	2007	Boating	USA	Shrimping	A large shark rammed boat, breaking prop shaft. No injury to occupants but boat sank several hours later	0	0	1	0
1406	2007	Unprovoked	AUSTRALIA	Diving	Head & torso bitten	0	1	0	0
1407	2007	Invalid	AUSTRALIA	Swimming	Shark involvement prior to death unconfirmed	0	0	0	1
1408	2007	Unprovoked	SOUTH AFRICA	Swimming / Body Surfing	Presumed FATAL, body not recovered	1	0	0	0
1409	2007	Unprovoked	AUSTRALIA	Surfing	No injury, shark damaged surfboard	0	1	0	0
1410	2007	Invalid	USA	Surfing	No injury	0	0	0	1
1411	2007	Unprovoked	USA	Surfing	No injury, shark removed piece of surfboard	0	1	0	0
1412	2006	Unprovoked	AUSTRALIA	Surfing	Left leg bitten	0	1	0	0
1413	2006	Unprovoked	NEW ZEALAND	Surfing	Foot bitten	0	1	0	0
1414	2006	Unprovoked	USA	Surfing	Minor injuries, surfboard bitten	0	1	0	0
1415	2006	Provoked	SOUTH AFRICA	Fishing	Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT	0	1	0	0
1416	2006	Unprovoked	AUSTRALIA	Body boarding	Right leg severed, left leg lacerated	0	1	0	0
1417	2006	Sea Disaster	PHILIPPINES	Sea Disaster	15 perished but shark involvement prior to death was not confirmed	1	0	0	0
1418	2006	Unprovoked	USA	Swimming	Laceration to left thigh & left hand	0	1	0	0
1419	2006	Provoked	SOUTH AFRICA	Canoeing	Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT	0	1	0	0
1420	2006	Unprovoked	USA	Surfing	No injury, surfboard bitten	0	1	0	0
1421	2006	Unprovoked	USA	Fishing	Lower right leg and foot bitten	0	1	0	0
1422	2006	Unprovoked	USA	Surfing	Left ankle bitten	0	1	0	0
1423	2006	Unprovoked	USA	Surfing	Lacerations to lower left leg	0	1	0	0
1424	2006	Unprovoked	USA	Playing soccer in the water	Lacerations to foot	0	1	0	0
1425	2006	Unprovoked	BAHAMAS	Free diving / modeling	Puncture wounds to left foot	0	1	0	0
1426	2006	Unprovoked	GULF OF ADEN	Murder	FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks	1	0	0	0
1427	2006	Invalid	SOUTH AFRICA	Spearfishing	No injury; 4m white shark made a threat display	0	0	0	1
1428	2006	Unprovoked	USA	Surfing	Big toe bitten	0	1	0	0
1429	2006	Provoked	USA	Diving / Kissing the shark	Lacerations to upper lip    PROVOKED INCIDENT	0	1	0	0
1430	2006	Unprovoked	USA	Surfing	Laceration to left thigh	0	1	0	0
1431	2006	Unprovoked	USA	Swimming	Minor injury to left hand	0	1	0	0
1432	2006	Unprovoked	USA	Surfing	Left torso grazed	0	1	0	0
1433	2006	Invalid	AUSTRALIA	Diving	Killed by a stingray, not a shark - a tragedy for his family and marine wildlife	0	0	0	1
1434	2006	Unprovoked	BRAZIL		FATAL	1	0	0	0
1435	2006	Unprovoked	USA	Standing	Puncture wounds and cuts to right thigh	0	1	0	0
1436	2006	Unprovoked	USA	Swimming	Arm bitten	0	1	0	0
1437	2006	Unprovoked	SOUTH AFRICA	Surfing	No injury, shark rammed surfboard	0	1	0	0
1438	2006	Unprovoked	USA	Surfing	Laceration & puncture wounds to foot	0	1	0	0
1439	2006	Unprovoked	AUSTRALIA	Surfing	No injury, shark towed  surfer & board	0	1	0	0
1440	2006	Unprovoked	REUNION	Body boarding	Laceration to right calf & heel	0	1	0	0
1441	2006	Invalid	BRAZIL		Shark bites may have been post mortem	0	0	0	1
1442	2006	Invalid	BELIZE	Spearfishing	Shark involvement prior to death not confirmed	0	0	0	1
1443	2006	Sea Disaster	ITALY	Sea Disaster	FATAL	1	0	0	0
1444	2006	Unprovoked	REUNION	Surfing	FATAL	1	0	0	0
1445	2006	Unprovoked	SOUTH AFRICA	Surfing	No injury, surfboard leash severed	0	1	0	0
1446	2006	Unprovoked	SOUTH AFRICA	Lifesaving drill	Foot severed	0	1	0	0
